epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0215,1.71166,3.75909,1.53419,0.14986,0.2884,0.13601,0.07562,1.58219,2.75569,1.36854,0.000254003,0.000254003,0.000254003
2,26.3167,1.60021,2.59618,1.43383,0.31623,0.42492,0.29444,0.1529,1.54763,2.64062,1.49748,0.000509326,0.000509326,0.000509326
3,37.7848,1.56853,2.11262,1.44787,0.55484,0.515,0.54352,0.28726,1.57243,1.94556,1.52134,0.000763634,0.000763634,0.000763634
4,49.5091,1.52885,1.85708,1.43166,0.60315,0.57493,0.61685,0.31972,1.55783,1.72966,1.51049,0.000764432,0.000764432,0.000764432
5,59.4992,1.46032,1.68021,1.39559,0.70788,0.60797,0.69741,0.38338,1.52524,1.43753,1.4457,0.00076291,0.00076291,0.00076291
6,70.0746,1.46161,1.60326,1.37819,0.72864,0.60451,0.6806,0.36337,1.51668,1.57096,1.45613,0.000761387,0.000761387,0.000761387
7,81.0513,1.40078,1.47351,1.35334,0.70853,0.64716,0.69077,0.36683,1.58066,1.42491,1.51688,0.000759864,0.000759864,0.000759864
8,92.3585,1.41871,1.41864,1.34057,0.76019,0.62015,0.73324,0.39972,1.50957,1.3706,1.457,0.000758342,0.000758342,0.000758342
9,103.652,1.36456,1.33335,1.31436,0.75091,0.68522,0.73283,0.40187,1.50757,1.34041,1.43452,0.000756819,0.000756819,0.000756819
10,115.873,1.37976,1.31081,1.31928,0.79827,0.64105,0.73117,0.39482,1.52506,1.45288,1.47147,0.000755296,0.000755296,0.000755296
11,127.929,1.34113,1.28776,1.30488,0.77966,0.71578,0.76136,0.41982,1.50448,1.25194,1.44924,0.000753774,0.000753774,0.000753774
12,139.14,1.30801,1.20558,1.28368,0.78882,0.70803,0.77001,0.42171,1.51345,1.21768,1.46654,0.000752251,0.000752251,0.000752251
13,150.242,1.30656,1.19098,1.27107,0.79733,0.696,0.7593,0.40446,1.55414,1.27139,1.43687,0.000750729,0.000750729,0.000750729
14,161.275,1.3073,1.14351,1.27025,0.79792,0.71422,0.77803,0.42394,1.50787,1.29094,1.45322,0.000749206,0.000749206,0.000749206
15,172.415,1.26356,1.13018,1.24588,0.82056,0.74,0.79723,0.43758,1.51795,1.18674,1.42604,0.000747683,0.000747683,0.000747683
16,183.692,1.26225,1.08747,1.2385,0.80073,0.70841,0.78859,0.43138,1.5228,1.1999,1.43398,0.000746161,0.000746161,0.000746161
17,194.732,1.24187,1.06507,1.22805,0.81036,0.71255,0.78504,0.42241,1.53152,1.19221,1.44504,0.000744638,0.000744638,0.000744638
18,205.879,1.23219,1.05552,1.22907,0.73541,0.73623,0.7703,0.41406,1.55212,1.20853,1.47729,0.000743115,0.000743115,0.000743115
19,217.018,1.24438,1.02465,1.22693,0.83757,0.69091,0.80067,0.44728,1.52101,1.16029,1.45748,0.000741593,0.000741593,0.000741593
20,228.299,1.21092,1.00152,1.20239,0.8103,0.75898,0.80372,0.44237,1.51117,1.09585,1.42447,0.00074007,0.00074007,0.00074007
21,239.402,1.22984,0.99654,1.21041,0.84393,0.73941,0.82099,0.4521,1.51306,1.0748,1.44026,0.000738548,0.000738548,0.000738548
22,250.497,1.20824,0.97478,1.19869,0.81363,0.74414,0.82011,0.44665,1.52211,1.11916,1.42159,0.000737025,0.000737025,0.000737025
23,261.423,1.19197,0.97267,1.20237,0.79676,0.72815,0.79669,0.42798,1.57099,1.12426,1.50508,0.000735502,0.000735502,0.000735502
24,272.574,1.17784,0.93831,1.18684,0.78195,0.77766,0.82531,0.42862,1.57711,1.10009,1.48402,0.00073398,0.00073398,0.00073398
25,283.699,1.17363,0.9527,1.19513,0.78747,0.73376,0.78533,0.41785,1.56627,1.13407,1.51077,0.000732457,0.000732457,0.000732457
26,294.904,1.16182,0.936,1.18077,0.79607,0.74174,0.78597,0.42488,1.57984,1.08099,1.51398,0.000730935,0.000730935,0.000730935
27,305.998,1.14864,0.91131,1.16558,0.84826,0.73304,0.81911,0.44903,1.5074,1.04763,1.44663,0.000729412,0.000729412,0.000729412
28,317.452,1.14954,0.8697,1.16037,0.73692,0.76912,0.80379,0.43817,1.54594,1.06311,1.47466,0.000727889,0.000727889,0.000727889
29,329.525,1.11708,0.85933,1.15854,0.79844,0.74762,0.80572,0.44399,1.50413,1.08446,1.44957,0.000726367,0.000726367,0.000726367
30,340.495,1.12983,0.86519,1.15689,0.8161,0.7464,0.80396,0.4557,1.50106,1.01638,1.434,0.000724844,0.000724844,0.000724844
31,351.447,1.13934,0.86503,1.16828,0.85072,0.74364,0.81243,0.44614,1.53864,1.08623,1.47382,0.000723321,0.000723321,0.000723321
32,362.433,1.13698,0.86171,1.16944,0.84438,0.73491,0.80232,0.43419,1.57582,1.03804,1.47683,0.000721799,0.000721799,0.000721799
33,375.47,1.1206,0.85781,1.15329,0.83875,0.76838,0.81733,0.44432,1.54445,1.01425,1.46111,0.000720276,0.000720276,0.000720276
34,386.206,1.11557,0.83305,1.14121,0.81326,0.78289,0.82999,0.44589,1.5625,1.02737,1.46702,0.000718754,0.000718754,0.000718754
35,397.373,1.07961,0.80914,1.12279,0.85852,0.77294,0.83549,0.42918,1.59001,1.01668,1.50746,0.000717231,0.000717231,0.000717231
36,408.452,1.08699,0.81988,1.13972,0.78282,0.7626,0.80704,0.4268,1.57422,1.05736,1.50284,0.000715708,0.000715708,0.000715708
37,419.544,1.06949,0.80045,1.13032,0.84142,0.72888,0.80646,0.4412,1.53017,1.05271,1.48452,0.000714186,0.000714186,0.000714186
38,430.53,1.08182,0.81062,1.13833,0.82669,0.78685,0.8287,0.4426,1.5741,0.99873,1.4954,0.000712663,0.000712663,0.000712663
39,441.506,1.07783,0.80655,1.13492,0.81684,0.77661,0.82149,0.43807,1.59483,0.98614,1.51125,0.00071114,0.00071114,0.00071114
40,452.49,1.07487,0.78475,1.11893,0.81011,0.7963,0.83368,0.46028,1.51073,0.94462,1.45074,0.000709618,0.000709618,0.000709618
